UID,GUID,TSCSystemKey,ProjectId,Ethid,LangID,Type,ProjectName,TSCRptName,TitleName,WebProductList,SponsorBeginYr,CurrEndYr,ActiveFlag,ReqFundingFlag,MktAsClusterFlag,Region,WebCountry,TSCPopTotal,PrayerCommits,PrayerCommitNeed,PrayerCommitGoal,LifetimeGivingAndPledgeBal,LifetimeOpp,LifetimeTotalNeed
40355-3866,UID4035503866,4035500287,40355,3866,287,Language,Streamlands Cluster 2,Padim,Streamlands Cluster 2-Padim,Full New Testament,2012,2018,Y,N,N,Asia - South,S Asia,274000,6,4,10,142533.01,1169.16,143702.17
40355-3925,UID4035503925,4035500297,40355,3925,297,Language,Streamlands Cluster 2,Jarsbi,Streamlands Cluster 2-Jarsbi,Full New Testament,2008,2018,Y,N,N,Asia - South,S Asia,273000,6,4,10,142532.99,1169.17,143702.16
20225-,UID2022500000,20225,20225,NULL,NULL,Project,Suba 2,NULL,Suba 2,Bible Stories,2016,2018,Y,Y,N,Africa,Kenya,156600,7,3,10,64514.26,119621.93,184136.19
50846-,UID5084600000,50846,50846,NULL,NULL,Project,Suriname Maroon 2,NULL,Suriname Maroon 2,Bible Stories Old Testament Portions-not Genesis,2017,2019,Y,Y,Y,Americas,Suriname,40400,10,10,20,6089.76,197522.49,203612.25
50846-18746,UID5084618746,5084601124,50846,18746,1124,Language,Suriname Maroon 2,Saramaccan,Suriname Maroon 2-Saramaccan,Bible Stories Old Testament Portions-not Genesis,2014,2019,Y,Y,N,Americas,Suriname,26000,5,5,10,3044.89,98761.24,101806.13
50846-18880,UID5084618880,5084601260,50846,18880,1260,Language,Suriname Maroon 2,Aukan,Suriname Maroon 2-Aukan,Bible Stories Old Testament Portions-not Genesis,2014,2019,Y,Y,N,Americas,Suriname,14400,5,5,10,3044.88,98761.25,101806.13
50304-,UID5030400000,50304,50304,NULL,NULL,Project,Suriname Maroon Cluster,NULL,Suriname Maroon Cluster,Old Testament Portions-not Genesis,2014,2016,Y,Y,Y,Americas,Suriname,40400,10,10,20,100117.62,0,100117.62
50304-18746,UID5030418746,5030401124,50304,18746,1124,Language,Suriname Maroon Cluster,Saramaccan,Suriname Maroon Cluster-Saramaccan,Old Testament Portions-not Genesis,2014,2016,Y,Y,N,Americas,Suriname,26000,5,5,10,83633.8,0,83633.8
50304-18880,UID5030418880,5030401260,50304,18880,1260,Language,Suriname Maroon Cluster,Aukan,Suriname Maroon Cluster-Aukan,Old Testament Portions-not Genesis,2014,2016,Y,Y,N,Americas,Suriname,14400,5,5,10,16483.82,0,16483.82
55300-,UID5530000000,55300,55300,NULL,NULL,Project,Suryoyo OT,NULL,Suryoyo OT,Full Old Testament,2009,2017,Y,Y,N,Eurasia,East Mediterranean,500000,13,0,10,334886.26,37265.13,372151.39
70456-,UID7045600000,70456,70456,NULL,NULL,Project,Tagasa Cluster 2,NULL,Tagasa Cluster 2,Genesis Jesus Film Old Testament Portions-not Genesis,2017,2020,Y,Y,Y,Asia,SE Asia,133700,32,8,40,2004,279626.06,281630.06
70456-4144,UID7045604144,7045600319,70456,4144,319,Language,Tagasa Cluster 2,Abuten,Tagasa Cluster 2-Abuten,Genesis Jesus Film Old Testament Portions-not Genesis,1996,2020,Y,Y,N,Asia,SE Asia,79000,8,2,10,501,69906.52,70407.52
